name,lat,lng,type,state,district,operator
Citibank,12.9598626,77.747425,atm,,,Citibank
State Bank of India,9.7463212,76.7023151,atm,,,State Bank of India
State Bank of India,13.0004021,77.6233737,atm,,,State Bank of India
ATM,12.0166524,78.0890661,atm,,,
State Bank of India,12.934708,77.6126855,atm,,,State Bank of India
Canara Bank,12.9287707,77.5824139,atm,,,Canara Bank
Axis Bank ATM,17.3991374,78.4808419,atm,,,
SBI ATM (2 Nos),17.3977147,78.4833926,atm,,,
Punjab National Bank,30.3386673,76.8280814,atm,,,Punjab National Bank
Kerala Bank,9.5896438,76.5225548,atm,,,Kerala Bank
ATM,12.9771873,80.2620152,atm,,,
Axis Bank,12.9356059,77.6143393,atm,,,Axis Bank
State Bank of India,10.0460266,76.3233045,atm,,,State Bank of India
SBI,10.0499475,76.3309894,atm,,,SBI
State Bank of India,10.0419774,76.3284551,atm,,,State Bank of India
State Bank of India,13.0813456,77.5482816,atm,,,State Bank of India
ICICI Bank,12.9359271,77.5179968,atm,,,ICICI Bank
Corporation Bank,12.9064379,77.5443522,atm,,,Corporation Bank
ICICI Bank,13.0813561,77.5597829,atm,,,ICICI Bank
ATM,13.0823148,77.5483971,atm,,,
Corporation Bank,13.3381515,74.7367171,atm,,,Corporation Bank
ATM,11.0275718,76.9468885,atm,,,
ATM,11.0268899,76.9470038,atm,,,
Canara Bank,13.1990257,77.7042304,atm,,,Canara Bank
State Bank of India,10.7745478,79.1221485,atm,,,State Bank of India
UTI Bank,10.7741815,79.1221298,atm,,,UTI Bank
State Bank of India,12.9296912,77.5519662,atm,,,State Bank of India
State Bank,12.9198321,77.5927344,atm,,,State Bank
HDFC Bank,12.9373618,77.6244338,atm,,,HDFC Bank
SBI State Bank of India ATM,13.029027,77.561291,atm,,,SBI State Bank of India ATM
Syndicate Bank,12.9370677,77.568849,atm,,,Syndicate Bank
HDFC ATM,12.9365631,77.567363,atm,,,HDFC ATM
Bank of Baroda,13.3352686,74.7495458,atm,,,Bank of Baroda
Axis Bank,13.3357253,74.7494277,atm,,,Axis Bank
ATM,26.9163399,75.807437,atm,,,
IDBI Bank,13.0272537,77.5774582,atm,,,IDBI Bank
Dhanalakshmi Bank,13.0292314,77.5787817,atm,,,Dhanalakshmi Bank
Canara Bank,12.9856724,77.5420617,atm,,,Canara Bank
HDFC Bank,12.9972063,77.5402705,atm,,,HDFC Bank
Citibank,13.033232,77.5690512,atm,,,Citibank
HDFC Bank ATM,12.93567,77.6152337,atm,,,HDFC Bank ATM
Punjab National Bank,12.9805966,77.6074314,atm,,,Punjab National Bank
ATM,12.9168632,77.6045592,atm,,,
State Bank of India,11.0260408,76.9511194,atm,,,State Bank of India
Andhra Bank,12.892184,77.644283,atm,,,Andhra Bank
ICICI Bank,10.9969185,77.0010333,atm,,,ICICI Bank
Karur Vysya Bank,10.9969419,77.0004901,atm,,,Karur Vysya Bank
Indian Bank,12.9366613,77.6253726,atm,,,Indian Bank
IndusInd Bank,12.9401157,77.6250336,atm,,,IndusInd Bank
Bank of Baroda,12.9367383,77.6259938,atm,,,Bank of Baroda
Axis Bank,11.2981165,76.9394162,atm,,,Axis Bank
ICICI Bank,11.2997153,76.9387046,atm,,,ICICI Bank
Karur Vysya Bank,11.0781993,76.9863632,atm,,,Karur Vysya Bank
KVB,11.0135289,76.9672686,atm,,,KVB
Canara Bank,11.0801445,76.9982883,atm,,,Canara Bank
State Bank of India,11.0040617,76.9834681,atm,,,State Bank of India
Deutsche Bank,12.936209,77.6171253,atm,,,Deutsche Bank
Indian Overseas Bank ATM,11.0317831,76.9505924,atm,,,Indian Overseas Bank ATM
State Bank of India,11.0438159,76.9476993,atm,,,State Bank of India
IDBI ATM,11.0506264,76.9462783,atm,,,IDBI ATM
State Bank of India,11.0506994,76.9465616,atm,,,State Bank of India
Corporation Bank,13.0076084,77.5484003,atm,,,Corporation Bank
